recipientsCount,responses,packaging,personality,feedback,timestamp
1,"[{'gender': 'Female', 'knownDuration': '5+ year', 'id': 1, 'occasion': ['Birthday'], 'ageGroup': '20–25', 'gifts': [{'type': 'Edible Stuff', 'preferredStyle': ['Handmade & Crafted'], 'edibleQuantity': 1, 'flavours': {'Chocolates': 'Milk Chocolate'}, 'foodItems': ['Chocolates'], 'ediblePrice': '1000 PKR'}, {'type': 'Jewellery', 'preferredStyle': ['Handmade & Crafted'], 'jewelryColor': 'Silver', 'quantity': 1, 'jewelryStyle': 'Earrings', 'jewelryPrice': '1000–2000 PKR'}, {'type': 'Bag/Wallet', 'preferredStyle': ['Handmade & Crafted'], 'walletColor': 'Black', 'walletPrice': '3000–5000 PKR', 'walletStyle': 'Tote bags'}, {'type': 'Perfume', 'preferredStyle': ['Handmade & Crafted'], 'perfumeScent': 'Floral', 'perfumePrice': '5000 PKR'}, {'type': 'Edible Stuff', 'preferredStyle': ['Handmade & Crafted'], 'edibleQuantity': 1, 'flavours': {'Brownie': 'Classic Fudge'}, 'foodItems': ['Brownie'], 'ediblePrice': '1000 PKR'}], 'relationship': 'Friend', 'ageType': 'Adult'}]",Basket with net,"{'personality': 3, 'experiencePreference': 3, 'handmadePreference': 3, 'budgetFlexibility': 3, 'stylePreference': 3, 'surpriseReaction': 3, 'connectionImportance': 3, 'noteImportance': 3, 'handmadeOverStore': 3, 'sharedMemoriesAppreciation': 3, 'relationshipCloseness': 3, 'uniqueGiftValue': 3, 'practicalOverSentimental': 3}","{'helpful': 'Maybe', 'suggestion': 'I guess it should include more options'}",2026-03-14 13:05:40.072000+00:00
1,"[{'gender': 'Male', 'knownDuration': '5+ year', 'id': 1, 'occasion': ['Thank you gift'], 'ageGroup': '20–25', 'gifts': [{'type': 'Edible Stuff', 'preferredStyle': ['Handmade & Crafted'], 'edibleQuantity': 1, 'flavours': {'Snacks': 'Sour Cream & Onion'}, 'foodItems': ['Snacks'], 'ediblePrice': '1000–2000 PKR'}], 'relationship': 'Friend', 'ageType': 'Adult'}]",Basket with net,"{'personality': 3, 'experiencePreference': '5', 'handmadePreference': '5', 'budgetFlexibility': '4', 'stylePreference': '5', 'surpriseReaction': '5', 'connectionImportance': '5', 'noteImportance': '5', 'handmadeOverStore': '5', 'sharedMemoriesAppreciation': '5', 'relationshipCloseness': '5', 'uniqueGiftValue': '5', 'practicalOverSentimental': '5'}","{'helpful': 'Yes', 'suggestion': ''}",2026-01-08 15:52:25.979000+00:00
10,"[{'gender': 'Female', 'knownDuration': '5+ year', 'id': 1, 'occasion': ['Birthday', 'Wedding/Engagement gift', 'Thank you gift', 'Get well soon', 'Other', 'Graduation'], 'ageGroup': '25–35', 'gifts': [{'type': 'Bag/Wallet', 'preferredStyle': ['Quirky & Unique'], 'walletColor': 'Blue', 'walletPrice': '10,000–15,000 PKR', 'walletStyle': 'Mini wallets'}], 'relationship': 'Colleague/Professional', 'ageType': 'Adult'}, {'gender': 'Female', 'knownDuration': '5+ year', 'id': 2, 'occasion': ['Graduation', 'Birthday', 'Thank you gift', 'Get well soon', 'Other'], 'ageGroup': '20–25', 'gifts': [{'type': 'Jewellery', 'preferredStyle': ['Handmade & Crafted'], 'jewelryColor': 'Gold', 'quantity': 2, 'jewelryStyle': 'Earrings', 'jewelryPrice': '2000–3000 PKR'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Adult'}, {'gender': 'Male', 'knownDuration': '5+ year', 'id': 3, 'occasion': ['Birthday', 'Graduation', 'Thank you gift', 'Get well soon', 'Other'], 'ageGroup': '20–25', 'gifts': [{'type': 'Clothing', 'preferredStyle': ['Funny & Lighthearted'], 'dressPieces': 'Two-piece', 'dressColors': ['Purple'], 'dressType': 'Unstitched dress', 'dressPrice': '5000–8000 PKR'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Adult'}, {'gender': 'Male', 'knownDuration': '1–3 year', 'id': 4, 'occasion': ['Birthday', 'Graduation', 'Get well soon'], 'ageGroup': '25–35', 'gifts': [{'type': 'Edible Stuff', 'preferredStyle': ['Quirky & Unique'], 'edibleQuantity': 1, 'flavours': {'Chocolates': 'Milk Chocolate'}, 'foodItems': ['Chocolates'], 'ediblePrice': '1000 PKR'}], 'relationship': 'Extended Family (Aunt, Uncle, Cousin)', 'ageType': 'Adult'}, {'gender': 'Female', 'knownDuration': '5+ year', 'id': 5, 'occasion': ['Birthday', 'Get well soon', 'Other'], 'ageGroup': '20–25', 'gifts': [{'type': 'Makeup Products', 'preferredStyle': ['Funny & Lighthearted'], 'makeupPrice': '4000–5000 PKR', 'makeupItem': 'Different brushes palette'}], 'relationship': 'Friend', 'ageType': 'Adult'}, {'gender': 'Female', 'knownDuration': '1–3 year', 'id': 6, 'occasion': ['Graduation'], 'ageGroup': '25–35', 'gifts': [{'type': 'Edible Stuff', 'preferredStyle': ['Quirky & Unique'], 'edibleQuantity': 2, 'flavours': {'Chocolates': 'Dark Chocolate'}, 'foodItems': ['Chocolates', 'Cola cans'], 'ediblePrice': '1000–2000 PKR'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Adult'}, {'gender': 'Male', 'knownDuration': 'Less than a year', 'id': 7, 'occasion': ['Birthday', 'Thank you gift'], 'ageGroup': 'More than 35 years', 'gifts': [{'type': 'Shoes', 'preferredStyle': ['Quirky & Unique'], 'shoePrice': '5000–10,000 PKR', 'shoeStyle': 'Formal shoes', 'shoeColor': 'Light brown', 'shoeSize': '42'}], 'relationship': 'Colleague/Professional', 'ageType': 'Adult'}, {'gender': 'Female', 'knownDuration': '1–3 year', 'id': 8, 'occasion': ['Anniversary'], 'ageGroup': '25–35', 'gifts': [{'type': 'Clothing', 'preferredStyle': ['Handmade & Crafted'], 'femaleDressStyle': 'Frock', 'dressSize': 'S', 'dressColors': ['Yellow'], 'dressType': 'Stitched dress', 'dressPrice': '5000 PKR'}], 'relationship': 'Colleague/Professional', 'ageType': 'Adult'}, {'gender': 'Male', 'knownDuration': '3–5 year', 'id': 9, 'occasion': ['Wedding/Engagement gift'], 'ageGroup': '25–35', 'gifts': [{'type': 'Edible Stuff', 'preferredStyle': ['Handmade & Crafted', 'Quirky & Unique'], 'edibleQuantity': 2, 'flavours': {'Chocolates': 'Dark Chocolate', 'Cake': 'Red Velvet'}, 'foodItems': ['Chocolates', 'Cake'], 'ediblePrice': '1000–2000 PKR'}], 'relationship': 'Extended Family (Aunt, Uncle, Cousin)', 'ageType': 'Adult'}, {'gender': 'Female', 'knownDuration': '', 'id': 10, 'kidToyTypes': ['Dolls'], 'kidDislikes': ['Electronic Gadgets'], 'occasion': ['Birthday', 'Graduation', 'Thank you gift'], 'ageGroup': '12–15', 'gifts': [{'type': 'Accessories', 'quantity': 1, 'jewelryStyle': 'Bracelets', 'jewelryColors': 'Blue', 'jewelryPrice': '1000–2000 PKR'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Kid'}]",Acrylic box,"{'personality': '5', 'experiencePreference': '4', 'handmadePreference': '5', 'budgetFlexibility': '5', 'stylePreference': '5', 'surpriseReaction': '4', 'connectionImportance': '5', 'noteImportance': '4', 'handmadeOverStore': '5', 'sharedMemoriesAppreciation': '5', 'relationshipCloseness': '4', 'uniqueGiftValue': '4', 'practicalOverSentimental': '4'}","{'helpful': 'Yes', 'suggestion': 'Everything was quite upto the mark in this questionare'}",2025-12-26 04:48:29.481000+00:00
4,"[{'gender': 'Male', 'knownDuration': '5+ year', 'id': 1, 'occasion': ['Holiday'], 'ageGroup': '20–25', 'gifts': [{'type': 'Jewellery', 'preferredStyle': ['Quirky & Unique'], 'jewelryColor': 'Silver', 'quantity': 4, 'jewelryStyle': 'Wrist bands', 'jewelryPrice': '3000–4000 PKR'}, {'type': 'Clothing', 'preferredStyle': ['Funny & Lighthearted'], 'dressPieces': 'Three-piece', 'dressColors': ['Yellow'], 'dressType': 'Unstitched dress', 'dressPrice': '10,000–15,000 PKR'}, {'type': 'Clothing', 'preferredStyle': ['Quirky & Unique'], 'dressSize': 'L', 'maleDressStyle': 'Waistcoats', 'dressColors': ['Black'], 'dressType': 'Stitched dress', 'dressPrice': '5000–8000 PKR'}], 'relationship': 'Extended Family (Aunt, Uncle, Cousin)', 'ageType': 'Adult'}, {'gender': 'Female', 'knownDuration': '1–3 year', 'id': 2, 'occasion': ['Birthday'], 'ageGroup': '20–25', 'gifts': [{'type': 'Perfume', 'preferredStyle': ['Handmade & Crafted'], 'perfumeScent': 'Floral', 'perfumePrice': '5000–7000 PKR'}, {'type': 'Jewellery', 'preferredStyle': ['Funny & Lighthearted'], 'jewelryColor': 'Gold', 'quantity': 3, 'jewelryStyle': 'Jhumkis', 'jewelryPrice': '3000–4000 PKR'}], 'relationship': 'Colleague/Professional', 'ageType': 'Adult'}, {'gender': 'Female', 'knownDuration': '1–3 year', 'id': 3, 'occasion': ['Other'], 'ageGroup': '20–25', 'gifts': [{'type': 'Edible Stuff', 'preferredStyle': ['Funny & Lighthearted'], 'edibleQuantity': 2, 'flavours': {'Chocolates': 'Milk Chocolate', 'Jellies': 'Mango'}, 'foodItems': ['Chocolates', 'Jellies'], 'ediblePrice': '1000–2000 PKR'}, {'type': 'Clothing', 'preferredStyle': ['Funny & Lighthearted'], 'femaleDressStyle': 'Shirt', 'dressSize': 'L', 'dressColors': ['Red'], 'dressType': 'Stitched dress', 'dressPrice': '5000–8000 PKR'}, {'type': 'Jewellery', 'preferredStyle': ['Funny & Lighthearted'], 'jewelryColor': 'Gold', 'quantity': 6, 'jewelryStyle': 'Necklace', 'jewelryPrice': '4000–5000 PKR'}, {'type': 'Makeup Products', 'preferredStyle': ['Quirky & Unique'], 'makeupPrice': '4000–5000 PKR', 'makeupItem': 'Foundation'}], 'relationship': 'Spouse', 'ageType': 'Adult'}, {'gender': 'Male', 'knownDuration': '3–5 year', 'id': 4, 'occasion': ['Thank you gift'], 'ageGroup': '25–35', 'gifts': [{'type': 'Wallet', 'preferredStyle': ['Funny & Lighthearted'], 'walletColor': 'Camel brown', 'walletEngraving': 'SW', 'walletPrice': '8000–10,000 PKR', 'walletStyle': 'Front-pocket wallets'}], 'relationship': 'Colleague/Professional', 'ageType': 'Adult'}]",Basket with ribbon,"{'personality': 3, 'experiencePreference': '1', 'handmadePreference': '1', 'budgetFlexibility': '1', 'stylePreference': '5', 'surpriseReaction': '1', 'connectionImportance': '5', 'noteImportance': '5', 'handmadeOverStore': '1', 'sharedMemoriesAppreciation': '5', 'relationshipCloseness': '5', 'uniqueGiftValue': '5', 'practicalOverSentimental': 3}","{'helpful': 'Maybe', 'suggestion': ''}",2025-12-25 09:28:40.835000+00:00
1,"[{'gender': 'Male', 'knownDuration': '5+ year', 'id': 1, 'occasion': ['Birthday'], 'ageGroup': '20–25', 'gifts': [{'type': 'Jewellery', 'preferredStyle': ['Handmade & Crafted'], 'jewelryColor': 'Silver', 'quantity': 1, 'jewelryStyle': 'Chain', 'jewelryPrice': 'More than 5000 PKR'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Adult'}]",Simple box,"{'personality': 3, 'experiencePreference': 3, 'handmadePreference': 3, 'budgetFlexibility': 3, 'stylePreference': 3, 'surpriseReaction': 3, 'connectionImportance': 3, 'noteImportance': 3, 'handmadeOverStore': 3, 'sharedMemoriesAppreciation': 3, 'relationshipCloseness': 3, 'uniqueGiftValue': 3, 'practicalOverSentimental': 3}","{'helpful': '', 'suggestion': ''}",2025-12-22 18:44:07.050000+00:00
1,"[{'gender': 'Male', 'knownDuration': '5+ year', 'id': 1, 'occasion': ['Birthday'], 'ageGroup': '20–25', 'gifts': [{'type': 'Wallet', 'preferredStyle': ['Handmade & Crafted'], 'walletColor': 'Black', 'walletPrice': '8000–10,000 PKR', 'walletStyle': 'Bifold wallets'}], 'relationship': 'Friend', 'ageType': 'Adult'}]",Basket with ribbon,"{'personality': 3, 'experiencePreference': 3, 'handmadePreference': 3, 'budgetFlexibility': 3, 'stylePreference': 3, 'surpriseReaction': 3, 'connectionImportance': 3, 'noteImportance': 3, 'handmadeOverStore': 3, 'sharedMemoriesAppreciation': 3, 'relationshipCloseness': 3, 'uniqueGiftValue': 3, 'practicalOverSentimental': 3}","{'helpful': 'Yes', 'suggestion': ''}",2026-03-13 23:22:56.051000+00:00
1,"[{'gender': 'Male', 'knownDuration': 'Less than a year', 'id': 1, 'occasion': ['Holiday'], 'ageGroup': '25–35', 'gifts': [{'type': 'Clothing', 'preferredStyle': ['Handmade & Crafted'], 'dressPieces': 'Two-piece', 'dressColors': ['White'], 'dressType': 'Unstitched dress', 'dressPrice': '5000–8000 PKR'}], 'relationship': 'Extended Family (Aunt, Uncle, Cousin)', 'ageType': 'Adult'}]",Simple box,"{'personality': 3, 'experiencePreference': 3, 'handmadePreference': 3, 'budgetFlexibility': 3, 'stylePreference': 3, 'surpriseReaction': 3, 'connectionImportance': 3, 'noteImportance': 3, 'handmadeOverStore': 3, 'sharedMemoriesAppreciation': 3, 'relationshipCloseness': 3, 'uniqueGiftValue': 3, 'practicalOverSentimental': 3}","{'helpful': 'Yes', 'suggestion': ''}",2026-03-14 10:29:47.293000+00:00
3,"[{'gender': 'Male', 'knownDuration': '5+ year', 'id': 1, 'occasion': ['Birthday'], 'ageGroup': '25–35', 'gifts': [{'type': 'Clothing', 'preferredStyle': ['Handmade & Crafted'], 'dressSize': 'L', 'maleDressStyle': 'Shalwar kameez', 'dressColors': ['Blue'], 'dressType': 'Stitched dress', 'dressPrice': '10,000–15,000 PKR'}, {'type': 'Perfume', 'preferredStyle': ['Quirky & Unique'], 'perfumeScent': 'Spicy', 'perfumePrice': '10,000–12,000 PKR'}, {'type': 'Wallet', 'preferredStyle': ['Funny & Lighthearted'], 'walletColor': 'Camel brown', 'walletPrice': '8000–10,000 PKR', 'walletStyle': 'Travelling wallets'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Adult'}, {'gender': 'Female', 'relationship': 'Close Family(Parent, Sibling, Child)', 'id': 2, 'occasion': ['Thank you gift'], 'ageGroup': '25–35', 'gifts': [{'type': 'Edible Stuff', 'preferredStyle': ['Quirky & Unique'], 'edibleQuantity': 1, 'foodItems': ['Cola cans'], 'ediblePrice': '3000–4000 PKR'}], 'knownDuration': '5+ year', 'ageType': 'Adult'}, {'gender': 'Female', 'knownDuration': '3–5 year', 'id': 3, 'occasion': ['Anniversary'], 'ageGroup': 'More than 35 years', 'gifts': [{'type': 'Jewellery', 'preferredStyle': ['Handmade & Crafted'], 'jewelryColor': 'Gold', 'quantity': 1, 'jewelryStyle': 'Jhumkis', 'jewelryPrice': '4000–5000 PKR'}], 'relationship': 'Extended Family (Aunt, Uncle, Cousin)', 'ageType': 'Adult'}]",Basket with ribbon,"{'personality': '3', 'experiencePreference': '2', 'handmadePreference': 3, 'budgetFlexibility': '4', 'stylePreference': '4', 'surpriseReaction': '2', 'connectionImportance': 3, 'noteImportance': '4', 'handmadeOverStore': '2', 'sharedMemoriesAppreciation': '2', 'relationshipCloseness': '4', 'uniqueGiftValue': '4', 'practicalOverSentimental': '2'}","{'helpful': 'No', 'suggestion': ''}",2026-02-21 13:57:18.643000+00:00
1,"[{'gender': 'Female', 'knownDuration': '3–5 year', 'id': 1, 'occasion': ['Other'], 'ageGroup': '20–25', 'gifts': [{'type': 'Edible Stuff', 'preferredStyle': ['Funny & Lighthearted'], 'edibleQuantity': 1, 'flavours': {'Cupcakes': 'Chocolate'}, 'foodItems': ['Cupcakes'], 'ediblePrice': '5000–6000 PKR'}], 'relationship': 'Colleague/Professional', 'ageType': 'Adult'}]",Simple box,"{'personality': 3, 'experiencePreference': 3, 'handmadePreference': 3, 'budgetFlexibility': 3, 'stylePreference': 3, 'surpriseReaction': 3, 'connectionImportance': 3, 'noteImportance': 3, 'handmadeOverStore': 3, 'sharedMemoriesAppreciation': 3, 'relationshipCloseness': 3, 'uniqueGiftValue': 3, 'practicalOverSentimental': 3}","{'helpful': 'Yes', 'suggestion': ''}",2026-04-05 14:27:11.293000+00:00
1,"[{'gender': 'Female', 'knownDuration': '5+ year', 'id': 1, 'occasion': ['Birthday'], 'ageGroup': '20–25', 'gifts': [{'type': 'Edible Stuff', 'preferredStyle': ['Handmade & Crafted'], 'edibleQuantity': 2, 'flavours': {'Chocolates': 'Hazelnut', 'Brownie': 'Classic Fudge'}, 'foodItems': ['Chocolates', 'Brownie'], 'ediblePrice': '1000–2000 PKR'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Adult'}]",Basket with net,"{'personality': 3, 'experiencePreference': '4', 'handmadePreference': 3, 'budgetFlexibility': 3, 'stylePreference': 3, 'surpriseReaction': 3, 'connectionImportance': 3, 'noteImportance': 3, 'handmadeOverStore': 3, 'sharedMemoriesAppreciation': 3, 'relationshipCloseness': 3, 'uniqueGiftValue': 3, 'practicalOverSentimental': 3}","{'helpful': 'Yes', 'suggestion': ''}",2026-03-11 19:30:58.908000+00:00
